"subject_id","condition","trial_number","performance"
"1","Hammer",1,548.524218429633
"1","Hammer",2,557.346440219064
"1","Hammer",3,574.255373325831
"1","Hammer",4,589.218807093567
"1","Hammer",5,601.351895989623
"1","Hammer",6,619.483218551306
"1","Hammer",7,642.945881470024
"1","Hammer",8,646.131232882124
"1","Hammer",9,666.875032254933
"1","Hammer",10,688.833922574608
"1","Spoon",1,551.036830757867
"1","Spoon",2,554.700059161421
"1","Spoon",3,563.375092181613
"1","Spoon",4,573.530412070213
"1","Spoon",5,579.001333861456
"1","Spoon",6,589.691924275263
"1","Spoon",7,596.680059712706
"1","Spoon",8,605.593941264474
"1","Spoon",9,616.30151275113
"1","Spoon",10,625.146434911394
"2","Hammer",1,393.260198060324
"2","Hammer",2,404.591026391265
"2","Hammer",3,423.395620413089
"2","Hammer",4,452.420173878913
"2","Hammer",5,473.652117600093
"2","Hammer",6,485.412016116035
"2","Hammer",7,503.597834649869
"2","Hammer",8,516.21526947501
"2","Hammer",9,552.448083873849
"2","Hammer",10,561.26918502702
"2","Spoon",1,391.250355369824
"2","Spoon",2,424.153324089567
"2","Spoon",3,422.174926517633
"2","Spoon",4,432.898852243102
"2","Spoon",5,431.469372996179
"2","Spoon",6,456.696842986038
"2","Spoon",7,474.141279920149
"2","Spoon",8,483.395791140081
"2","Spoon",9,497.953382688166
"2","Spoon",10,515.375758200826
"3","Hammer",1,359.390698225859
"3","Hammer",2,367.778560207847
"3","Hammer",3,390.620235806384
"3","Hammer",4,402.884343174078
"3","Hammer",5,417.963160227896
"3","Hammer",6,423.151810526357
"3","Hammer",7,450.259459169267
"3","Hammer",8,473.423856235536
"3","Hammer",9,498.602035386447
"3","Hammer",10,507.042435389387
"3","Spoon",1,368.646206674128
"3","Spoon",2,369.492729234256
"3","Spoon",3,383.912608454647
"3","Spoon",4,381.485236833751
"3","Spoon",5,403.079648275167
"3","Spoon",6,412.914447694278
"3","Spoon",7,419.135263008501
"3","Spoon",8,430.48845063744
"3","Spoon",9,437.320277832157
"3","Spoon",10,448.341274127822
"4","Hammer",1,420.094747696614
"4","Hammer",2,429.515639204629
"4","Hammer",3,437.188540218563
"4","Hammer",4,444.524371039809
"4","Hammer",5,465.258300408461
"4","Hammer",6,474.23823054256
"4","Hammer",7,496.778267675103
"4","Hammer",8,494.346792895507
"4","Hammer",9,513.374834085488
"4","Hammer",10,530.635030326323
"4","Spoon",1,422.123746882901
"4","Spoon",2,424.923069421995
"4","Spoon",3,431.501615086222
"4","Spoon",4,441.244296363218
"4","Spoon",5,447.643871197913
"4","Spoon",6,451.540469888378
"4","Spoon",7,464.678219764253
"4","Spoon",8,464.249685457918
"4","Spoon",9,464.892141669064
"4","Spoon",10,465.226137991129
"5","Hammer",1,443.835110606783
"5","Hammer",2,442.496907229686
"5","Hammer",3,445.558647781114
"5","Hammer",4,459.783129691498
"5","Hammer",5,467.099122547974
"5","Hammer",6,477.217987733563
"5","Hammer",7,483.794411896042
"5","Hammer",8,498.916575098221
"5","Hammer",9,509.79856934083
"5","Hammer",10,512.685477308092
"5","Spoon",1,425.073649288579
"5","Spoon",2,441.835456464222
"5","Spoon",3,445.127838653401
"5","Spoon",4,449.822038146645
"5","Spoon",5,449.016764891286
"5","Spoon",6,452.658503298377
"5","Spoon",7,446.973067726139
"5","Spoon",8,457.888224659642
"5","Spoon",9,459.79721179686
"5","Spoon",10,459.331443267034
"6","Hammer",1,506.631390970566
"6","Hammer",2,514.357204662363
"6","Hammer",3,526.146527171323
"6","Hammer",4,538.654768859015
"6","Hammer",5,551.989045739657
"6","Hammer",6,567.594855898059
"6","Hammer",7,577.045031869429
"6","Hammer",8,590.589916481384
"6","Hammer",9,594.081899149158
"6","Hammer",10,610.401122849814
"6","Spoon",1,519.229866738769
"6","Spoon",2,510.215343553401
"6","Spoon",3,522.115047759114
"6","Spoon",4,527.339563365464
"6","Spoon",5,534.683409463507
"6","Spoon",6,532.549852687923
"6","Spoon",7,539.577207084242
"6","Spoon",8,534.457648070243
"6","Spoon",9,549.456747154611
"6","Spoon",10,548.920785287479
"7","Hammer",1,573.00089199784
"7","Hammer",2,585.959828269473
"7","Hammer",3,611.527860852882
"7","Hammer",4,630.640611384592
"7","Hammer",5,643.489173921311
"7","Hammer",6,671.841828251311
"7","Hammer",7,683.774099345998
"7","Hammer",8,702.868994921716
"7","Hammer",9,726.077376626075
"7","Hammer",10,730.279323133813
"7","Spoon",1,590.23722148371
"7","Spoon",2,600.831557751532
"7","Spoon",3,605.572330263586
"7","Spoon",4,616.902975595979
"7","Spoon",5,619.95313385489
"7","Spoon",6,637.067610669512
"7","Spoon",7,640.916450835015
"7","Spoon",8,658.194246368073
"7","Spoon",9,659.773207697757
"7","Spoon",10,675.131878615498
"8","Hammer",1,270.421414624714
"8","Hammer",2,285.484355871148
"8","Hammer",3,291.008020587524
"8","Hammer",4,311.47362968394
"8","Hammer",5,327.817820342596
"8","Hammer",6,335.865984887167
"8","Hammer",7,338.177745080938
"8","Hammer",8,355.965366541271
"8","Hammer",9,379.407394085604
"8","Hammer",10,392.235349704789
"8","Spoon",1,280.778844050472
"8","Spoon",2,288.879655472654
"8","Spoon",3,296.540442887688
"8","Spoon",4,300.427240623651
"8","Spoon",5,299.990818450474
"8","Spoon",6,302.183353762096
"8","Spoon",7,310.111748213363
"8","Spoon",8,320.117076099072
"8","Spoon",9,319.245311975217
"8","Spoon",10,319.94118167895
"9","Hammer",1,404.643030124655
"9","Hammer",2,435.721625322032
"9","Hammer",3,445.899635398306
"9","Hammer",4,472.435084869995
"9","Hammer",5,496.462561105202
"9","Hammer",6,511.807058802554
"9","Hammer",7,527.964891543611
"9","Hammer",8,550.358259372775
"9","Hammer",9,568.581634272511
"9","Hammer",10,597.666386310058
"9","Spoon",1,418.417133408674
"9","Spoon",2,439.399584764653
"9","Spoon",3,441.326371777678
"9","Spoon",4,453.383614811267
"9","Spoon",5,469.819628469525
"9","Spoon",6,481.709677524073
"9","Spoon",7,491.551243271057
"9","Spoon",8,498.651283454154
"9","Spoon",9,519.193366219927
"9","Spoon",10,527.944917228141
